,f1-score,precision,recall,support
Atelectasis,0.47756874095513746,0.5030487804878049,0.45454545454545453,363.0
Cardiomegaly,0.5986547085201793,0.5816993464052288,0.6166281755196305,433.0
Consolidation,0.037037037037037035,0.06666666666666667,0.02564102564102564,39.0
Edema,0.37532133676092544,0.46794871794871795,0.3133047210300429,233.0
Enlarged Cardiomediastinum,0.16091954022988506,0.1891891891891892,0.14,100.0
Fracture,0.22222222222222224,0.25,0.2,65.0
Lung Lesion,0.2222222222222222,0.5263157894736842,0.14084507042253522,71.0
Lung Opacity,0.5286783042394015,0.5921787709497207,0.4774774774774775,444.0
No Finding,0.1857142857142857,0.14606741573033707,0.2549019607843137,51.0
Pleural Effusion,0.6964933494558646,0.72544080604534,0.6697674418604651,430.0
Pleural Other,0.16666666666666666,0.25,0.125,32.0
Pneumonia,0.19047619047619044,0.2727272727272727,0.14634146341463414,41.0
Pneumothorax,0.40816326530612246,0.43478260869565216,0.38461538461538464,26.0
Support Devices,0.8450413223140496,0.8415637860082305,0.8485477178423236,482.0
micro avg,0.5599547511312217,0.5954290296712109,0.5284697508896797,2810.0
macro avg,0.36536994229429925,0.4176877964519889,0.34268684951094913,2810.0
