,f1-score,precision,recall,support
Atelectasis,0.5158924205378972,0.5567282321899736,0.4806378132118451,439.0
Cardiomegaly,0.6254752851711026,0.6047794117647058,0.6476377952755905,508.0
Consolidation,0.14965986394557823,0.22916666666666666,0.1111111111111111,99.0
Edema,0.5423728813559323,0.5827814569536424,0.5072046109510087,347.0
Enlarged Cardiomediastinum,0.41874084919472915,0.4612903225806452,0.38337801608579086,373.0
Fracture,0.24590163934426232,0.2777777777777778,0.22058823529411764,68.0
Lung Lesion,0.20618556701030924,0.5263157894736842,0.1282051282051282,78.0
Lung Opacity,0.5291925465838508,0.5949720670391061,0.47651006711409394,447.0
No Finding,0.1857142857142857,0.14606741573033707,0.2549019607843137,51.0
Pleural Effusion,0.7170626349892009,0.7757009345794392,0.6666666666666666,498.0
Pleural Other,0.14545454545454545,0.23529411764705882,0.10526315789473684,38.0
Pneumonia,0.29875518672199175,0.32727272727272727,0.2748091603053435,131.0
Pneumothorax,0.38095238095238093,0.48,0.3157894736842105,38.0
Support Devices,0.8462332301341589,0.8418891170431212,0.8506224066390041,482.0
micro avg,0.5659819713314614,0.6041009463722398,0.5323881011954407,3597.0
macro avg,0.41482809407930177,0.4742882883370632,0.38738040023021153,3597.0
